Period,team,play,score
,,"Faceoff DiPaolo, Alex vs Maatta, Joel won by COL.",
,,"Shot by COL Brandon, Pierson MISSED, save Carriere, Gabe.",
,,"Shot by COL Verboon, Matt MISSED, save Carriere, Gabe.",
,,"Faceoff DiPaolo, Alex vs Good, Dawson won by COL.",
,,"Shot by COL Glasman, Levi BLOCKED by Stucker, Robbie.",
,,"Shot by COL Brandon, Pierson WIDE.",
,,"Shot by COL Glasman, Levi MISSED, save Carriere, Gabe.",
,,"Shot by COL Panetta, Daniel MISSED, save Carriere, Gabe.",
,,"Faceoff Buyalsky, Andrei vs DiPaolo, Alex won by VER.",
,,"Shot by COL Verboon, Matt MISSED, save Carriere, Gabe.",
,,"Shot by VER Long, Carter BLOCKED by Vachon, Arnaud.",
,,"Faceoff McGuire, Ryan vs Maatta, Joel won by COL.",
,,"Shot by VER Bergmanis, Ralfs MISSED, save Gylander, Carter.",
,,"Faceoff Buyalsky, Andrei vs DiPaolo, Alex won by VER.",
,,"Faceoff Panetta, Daniel vs Good, Dawson won by COL.",
,,"Shot by COL Neuharth, Owen MISSED, save Carriere, Gabe.",
,,"Faceoff Young, Colton vs Sinclair, Thomas won by COL.",
,,"Shot by VER Richards, Jens MISSED, save Gylander, Carter.",
,,"Faceoff Maatta, Joel vs Young, Alex won by VER.",
,,"Faceoff Maatta, Joel vs Young, Alex won by VER.",
,,"Shot by VER Bergmanis, Ralfs BLOCKED by Young, Colton.",
,,Media time out,
,,"Faceoff McGuire, Ryan vs Good, Dawson won by COL.",
,,"Shot by VER Walther, Isak MISSED, save Gylander, Carter.",
,,"Faceoff McGuire, Ryan vs Maatta, Joel won by COL.",
,,Start power play for COL.,
,,"Faceoff Verboon, Matt vs Maatta, Joel won by COL.",
,,"Penalty on Good, Dawson VER 2 minutes for Hooking.",
,,"Shot by COL DiPaolo, Alex MISSED, save Carriere, Gabe.",
,,"Shot by COL Young, Alex WIDE.",
,,"Shot by COL Young, Colton MISSED, save Carriere, Gabe.",
,,"Shot by COL Verboon, Matt WIDE.",
,,"Faceoff Young, Alex vs Lemay, William won by COL.",
,,"Shot by COL Young, Colton MISSED, save Carriere, Gabe.",
,,"Shot by COL Young, Alex MISSED, save Carriere, Gabe.",
,,"Faceoff Maatta, Joel vs DiPaolo, Alex won by VER.",
,,End power play for COL.,
,,"Shot by COL Labelle, Simon BLOCKED by Long, Carter.",
,,"Shot by COL Tamburro, Sebastian MISSED, save Carriere, Gabe.",
,,"Faceoff Buyalsky, Andrei vs McGuire, Ryan won by VER.",
,,"Shot by VER Spitserov, Timofei MISSED, save Gylander, Carter.",
,,"Faceoff Buyalsky, Andrei vs Young, Colton won by VER.",
,,"Shot by VER Schachle, Porter MISSED, save Gylander, Carter.",
,,"Shot by VER Gotz, Eric BLOCKED by Brandon, Pierson.",
,,"Penalty on Anderson, Nick COL 2 minutes for CrossChecking.",
,,"Faceoff Maatta, Joel vs McGuire, Ryan won by VER.",
,,Start power play for VER.,
,,"Shot by VER Leahy, Joe WIDE.",
,,"Shot by VER Leahy, Joe BLOCKED by Brandon, Pierson.",
,,"Faceoff McGuire, Ryan vs Zapernick, Will won by COL.",
,,"Faceoff Zapernick, Will vs McGuire, Ryan won by VER.",
,,"Shot by VER Zapernick, Will WIDE.",
,,"Shot by COL McGuire, Ryan WIDE.",
,,"Faceoff Lemay, William vs Young, Colton won by VER.",
,,"Faceoff Maatta, Joel vs Young, Alex won by VER.",
,,"Penalty on MÃŒnzenberger, Luca VER 2 minutes for Hooking.",
,,End power play for VER.,
,,"Shot by VER Bergmanis, Ralfs MISSED, save Gylander, Carter.",
,,"Shot by COL Young, Colton MISSED, save Carriere, Gabe.",
,,"Faceoff DiPaolo, Alex vs Sinclair, Thomas won by COL.",
,,"Shot by COL Belpedio, Nic BLOCKED by Lemay, William.",
,,"Faceoff Mitton, Ross vs Maatta, Joel won by COL.",
,,"Shot by COL Mitton, Ross WIDE.",
,,"Shot by COL Belpedio, Nic MISSED, save Carriere, Gabe.",
,,Start power play for COL.,
,,"Faceoff Young, Colton vs Good, Dawson won by COL.",
,,"Goal by Mitton, Ross (powerplay) Assist by: DiPaolo, Alex, On ice for VER: Carriere, Gabe; Maatta, Joel; Gotz, Eric; Long, Carter; Lemay, William, On ice for COL: Gylander, Carter; Mitton, Ross; DiPaolo, Alex; Verboon, Matt; Anderson, Nick; Belpedio, Nic,.",
,,End power play for COL.,
,,"Faceoff McGuire, Ryan vs Maatta, Joel won by COL.",
,,Carter Gylander at goalie for COL.,
,,"Faceoff DiPaolo, Alex vs Maatta, Joel won by COL.",
,,Gabe Carriere at goalie for VER.,
,,"Shot by COL Vachon, Arnaud WIDE.",
,,"Shot by COL Belpedio, Nic BLOCKED by Leahy, Joe.",
,,"Shot by VER Buyalsky, Andrei MISSED, save Gylander, Carter.",
,,"Faceoff Sinclair, Thomas vs McGuire, Ryan won by VER.",
,,"Shot by VER Richards, Jens BLOCKED by Brandon, Pierson.",
,,"Shot by VER Walther, Isak WIDE.",
,,"Shot by VER Walther, Isak WIDE.",
,,"Shot by COL Bergsland, Tommy MISSED, save Carriere, Gabe.",
,,"Faceoff Panetta, Daniel vs Good, Dawson won by COL.",
,,"Shot by COL Bergsland, Tommy MISSED, save Carriere, Gabe.",
,,"Shot by COL Bergsland, Tommy MISSED, save Carriere, Gabe.",
,,"Shot by VER Leahy, Joe MISSED, save Gylander, Carter.",
,,"Shot by COL Belpedio, Nic WIDE.",
,,"Shot by COL Brandon, Pierson MISSED, save Carriere, Gabe.",
,,"Shot by COL Brandon, Pierson MISSED, save Carriere, Gabe.",
,,"Shot by COL Glasman, Levi BLOCKED by Lemay, William.",
,,"Shot by COL Verboon, Matt MISSED, save Carriere, Gabe.",
,,"Faceoff Young, Colton vs Sinclair, Thomas won by COL.",
,,"Shot by COL Vachon, Arnaud MISSED, save Carriere, Gabe.",
,,"Faceoff Young, Alex vs Maatta, Joel won by COL.",
,,"Shot by COL Young, Colton WIDE.",
,,"Faceoff Zapernick, Will vs McGuire, Ryan won by VER.",
,,"Shot by VER Good, Dawson MISSED, save Gylander, Carter.",
,,"Penalty on Raymond, Ben COL 2 minutes for Charging.",
,,"Faceoff McGuire, Ryan vs Buyalsky, Andrei won by COL.",
,,Start power play for VER.,
,,"Shot by VER Schachle, Porter MISSED, save Gylander, Carter.",
,,"Shot by VER Zapernick, Will MISSED, save Gylander, Carter.",
,,"Shot by VER Gotz, Eric MISSED, save Gylander, Carter.",
,,"Faceoff Verboon, Matt vs Zapernick, Will won by COL.",
,,"Shot by VER Leahy, Joe MISSED, save Gylander, Carter.",
,,"Shot by VER Maatta, Joel MISSED, save Gylander, Carter.",
,,End power play for VER.,
,,Start power play for VER.,
,,"Faceoff McGuire, Ryan vs Buyalsky, Andrei won by COL.",
,,Penalty on COL for Toomanyplayersontheice.,
,,"Faceoff McGuire, Ryan vs Buyalsky, Andrei won by COL.",
,,"Shot by VER Stucker, Robbie BLOCKED by Stark, Anthony.",
,,"Faceoff McGuire, Ryan vs Lemay, William won by COL.",
,,"Shot by VER Spitserov, Timofei WIDE.",
,,End power play for VER.,
,,"Shot by VER Lemay, William MISSED, save Gylander, Carter.",
,,"Shot by COL Verboon, Matt MISSED, save Carriere, Gabe.",
,,Media time out,
,,"Shot by VER Richards, Jens MISSED, save Gylander, Carter.",
,,"Faceoff DiPaolo, Alex vs Maatta, Joel won by COL.",
,,"Shot by VER Gotz, Eric BLOCKED by Irwin, Reid.",
,,"Faceoff Buyalsky, Andrei vs McGuire, Ryan won by VER.",
,,"Shot by VER Gotz, Eric MISSED, save Gylander, Carter.",
,,"Shot by COL Belpedio, Nic WIDE.",
,,"Shot by VER Buyalsky, Andrei MISSED, save Gylander, Carter.",
,,"Shot by VER Stucker, Robbie WIDE.",
,,Start power play for VER.,
,,"Faceoff McGuire, Ryan vs Maatta, Joel won by COL.",
,,"Penalty on Raymond, Ben COL 2 minutes for HighSticking.",
,,"Shot by VER Leahy, Joe BLOCKED by Brandon, Pierson.",
,,"Faceoff Zapernick, Will vs Verboon, Matt won by VER.",
,,"Shot by VER Zapernick, Will WIDE.",
,,End power play for VER.,
,,"Faceoff Buyalsky, Andrei vs Panetta, Daniel won by VER.",
,,"Shot by VER Sinclair, Thomas WIDE.",
,,"Shot by COL Anderson, Nick BLOCKED by Bouquot, Jacques.",
,,"Shot by COL Brandon, Pierson BLOCKED by Zapernick, Will.",
,,"Shot by COL DiPaolo, Alex MISSED, save Carriere, Gabe.",
,,"Faceoff Sinclair, Thomas vs DiPaolo, Alex won by VER.",
,,"Shot by COL Young, Alex BLOCKED by Leahy, Joe.",
,,"Shot by COL Vachon, Arnaud MISSED, save Carriere, Gabe.",
,,"Shot by COL Young, Colton WIDE.",
,,"Faceoff Young, Colton vs Buyalsky, Andrei won by COL.",
,,Carter Gylander at goalie for COL.,
,,Gabe Carriere at goalie for VER.,
,,"Shot by COL Young, Colton MISSED, save Carriere, Gabe.",
,,"Shot by VER Buyalsky, Andrei MISSED, save Gylander, Carter.",
,,"Shot by VER Lemay, William WIDE.",
,,"Shot by COL Young, Colton MISSED, save Carriere, Gabe.",
,,"Faceoff Verboon, Matt vs Buyalsky, Andrei won by COL.",
,,"Shot by COL Young, Colton MISSED, save Carriere, Gabe.",
,,"Shot by VER Gotz, Eric MISSED, save Gylander, Carter.",
,,"Faceoff Walther, Isak vs DiPaolo, Alex won by VER.",
,,"Shot by VER Lemay, William MISSED, save Gylander, Carter.",
,,"Shot by VER Walther, Isak MISSED, save Gylander, Carter.",
,,"Faceoff Young, Alex vs Buyalsky, Andrei won by COL.",
,,"Shot by VER Bergmanis, Ralfs MISSED, save Gylander, Carter.",
,,"Shot by COL Vachon, Arnaud MISSED, save Carriere, Gabe.",
,,Gabe Carriere at goalie for VER.,
,,Carter Gylander at goalie for COL.,
